"ano","idade","observado","previsto","IC_lower","IC_upper","sexo"
2016,25,0.00268515843763769,0.00274289686501069,0.00268869305105263,0.00280084568373885,"Masculino"
2016,30,0.00271249478754557,0.00281151425024332,0.00274715007940249,0.00286472248030093,"Masculino"
2016,35,0.0031099324059896,0.0031174599266543,0.00307331507809068,0.00318198685935376,"Masculino"
2016,40,0.00396177403582486,0.00409917155259977,0.00401875736633019,0.00414955946869823,"Masculino"
2016,45,0.00545824255628175,0.00548037244043157,0.00537470695505444,0.00555194700039778,"Masculino"
2016,50,0.00781993137467047,0.00793747030783232,0.00786898906427971,0.0080063138042324,"Masculino"
2016,55,0.0113042803424906,0.011083976379369,0.0109069440210311,0.0114072187294434,"Masculino"
2016,60,0.0165607458082246,0.0164280558219298,0.0160194682813601,0.0167488946874267,"Masculino"
2016,65,0.0239560642409193,0.0231511759117154,0.0227188182929326,0.0239415405773701,"Masculino"
2016,70,0.0345070552466931,0.033557783679257,0.0331460633893925,0.0343596639952617,"Masculino"
2016,75,0.0536727922224078,0.0521070735279691,0.0513667850911956,0.0532015653293107,"Masculino"
2016,80,0.0845187616972973,0.0862766357001244,0.0848917813410773,0.0878674194603775,"Masculino"
2016,85,0.13613054544637,0.138018962840828,0.134735646227153,0.139204839462759,"Masculino"
2016,90,0.213843239645727,0.203034393247473,0.19950853888438,0.210463482868495,"Masculino"
2017,0,0.0138348693738661,0.013525872005498,0.0130204140738796,0.0139671559123222,"Masculino"
2017,1,0.000550063955519366,0.000552638384422864,0.000522626060051502,0.00059567165384888,"Masculino"
2017,5,0.000251601177568535,0.000277539864225796,0.000257405567639592,0.000284529085612719,"Masculino"
2017,10,0.000364126766652861,0.000410418962209824,0.0003956192369625,0.000421451486273687,"Masculino"
2017,15,0.00208299015362052,0.00205659195100942,0.00198199801053548,0.00216233462988885,"Masculino"
2017,20,0.0028737799142272,0.00288459456445254,0.00283465632539456,0.00295049622878674,"Masculino"
2017,25,0.00262423261934667,0.00272891841694396,0.00267499083838071,0.00278657191485147,"Masculino"
2017,30,0.00263084755725138,0.0028559344432221,0.00279055335813678,0.00290998333053301,"Masculino"
2017,35,0.00301870070986004,0.00304514461541498,0.00300202378914469,0.00310817472527428,"Masculino"
2017,40,0.00383364674497096,0.00402277248309012,0.00394385703112027,0.00407222128506391,"Masculino"
2017,45,0.00529782126541753,0.00538344050747583,0.00527964393882939,0.00545374912055187,"Masculino"
2017,50,0.00765941016976273,0.00781587538199899,0.00774844320967536,0.00788366425778139,"Masculino"
2017,55,0.0110814293537621,0.010935982993466,0.0107613143733055,0.0112549094077952,"Masculino"
2017,60,0.0164329561480826,0.0162411937626836,0.0158372537294052,0.016558383224274,"Masculino"
2017,65,0.0237002180266518,0.0224512455674255,0.0220319594322738,0.0232177151093657,"Masculino"
2017,70,0.0339966389886844,0.0330655055008032,0.0326598249695909,0.033855622579251,"Masculino"
2017,75,0.0530386482350518,0.0515101928043857,0.0507783842892022,0.0525921473240472,"Masculino"
2017,80,0.083725229500033,0.085346716258698,0.083976788339255,0.0869203540009851,"Masculino"
2017,85,0.134126472285395,0.137795636108619,0.134517632187889,0.138979593878638,"Masculino"
2017,90,0.215434512173449,0.201674494176116,0.198172255546285,0.209053824680394,"Masculino"
2018,0,0.0135786263750231,0.013235844661072,0.0127412249675773,0.0136676663757668,"Masculino"
2018,1,0.000548496236715636,0.000555552440227582,0.000525381861217177,0.000598812623585205,"Masculino"
2018,5,0.000248054140372008,0.000276944235121211,0.000256853148807091,0.00028391845691992,"Masculino"
2018,10,0.000347598773313543,0.000409648569743833,0.000394876624881626,0.000420660384790322,"Masculino"
2018,15,0.00191994087257499,0.00205845480716174,0.00198379329967195,0.00216429326751101,"Masculino"
2018,20,0.00274528373722184,0.00287619199386959,0.00282639922051541,0.0029419016924444,"Masculino"
2018,25,0.00251330676859386,0.00272167139639912,0.00266788702998444,0.00277917178746355,"Masculino"
2018,30,0.00254425755574668,0.00289578954879884,0.00282949605829925,0.00295059269855971,"Masculino"
2018,35,0.00292157786050984,0.00302714327442555,0.00298427735647505,0.00308980078244045,"Masculino"
2018,40,0.00371469870311863,0.00397367927880056,0.00389572689705689,0.00402252461633599,"Masculino"
2018,45,0.00510877936140808,0.00531735040089076,0.005214828096588,0.00538679586637083,"Masculino"
2018,50,0.00748051327322416,0.00776037795330199,0.00769342459006786,0.0078276854871852,"Masculino"
2018,55,0.010786702996587,0.0108357662400392,0.010662698273615,0.0111517700300515,"Masculino"
2018,60,0.016143986391298,0.0159959770891068,0.0155981359197871,0.0163083774849548,"Masculino"
2018,65,0.0233861321914028,0.0219123021248696,0.0215030809775341,0.0226603725213234,"Masculino"
2018,70,0.0333873366656861,0.0326797691589078,0.032278821225057,0.0334606688711943,"Masculino"
2018,75,0.052266773934252,0.0511300253933611,0.0504036179402479,0.0522039946226134,"Masculino"
2018,80,0.0828584909899788,0.084940219060408,0.0835768159597926,0.0865063617359672,"Masculino"
2018,85,0.132574546138652,0.137313193350356,0.13404666620275,0.13849300591035,"Masculino"
2018,90,0.216723711732269,0.200226930860433,0.196749830323468,0.207553294586854,"Masculino"
2019,0,0.0132675217298844,0.0129975966424862,0.0125118802086584,0.0134216454744868,"Masculino"
2019,1,0.000561001189870816,0.000553874132259245,0.000523794697701634,0.000597003627845232,"Masculino"
2019,5,0.00024322270760579,0.000276638462585263,0.000256569558723901,0.000283604984185827,"Masculino"
2019,10,0.000334704808808972,0.000408931234026388,0.000394185156320686,0.000419923766280673,"Masculino"
2019,15,0.00166243520131769,0.00205884149093673,0.00198416595817252,0.00216469983319706,"Masculino"
2019,20,0.00248868207339463,0.00286917639748405,0.00281950507847002,0.00293472581721628,"Masculino"
2019,25,0.00234412921090514,0.00271331569108908,0.00265969644612024,0.00277063955227427,"Masculino"
2019,30,0.00244345690282025,0.00292529350995034,0.00285832458343051,0.00298065502556422,"Masculino"
2019,35,0.00281326519263482,0.00302255181038239,0.00297975090994283,0.0030851142817013,"Masculino"
2019,40,0.00360208140826479,0.00395034203539736,0.00387284746455864,0.0039989005064166,"Masculino"
2019,45,0.00497435134113222,0.00527696176697613,0.00517521818431185,0.00534587975029481,"Masculino"
2019,50,0.00737330116016342,0.00772743246732865,0.00766076334425687,0.00779445425747273,"Masculino"
