sexo,idade,ano,observado,previsto,lower,upper
Ambos,10,2018,2.9502290198903e-4,2.642728845991443e-4,2.4762037976171946e-4,2.8665326070557713e-4
Ambos,15,2018,0.00119487559111281,7.1176487594941e-4,4.567211258568016e-4,0.0010878650136986088
Ambos,20,2018,0.00165201727527514,8.876118832899828e-4,5.527930083620788e-4,0.001223259454852303
Ambos,25,2018,0.00157151250787609,9.646146166463072e-4,6.772124710704699e-4,0.0012537997470403915
Ambos,30,2018,0.00169393646145791,0.0011509250062467858,9.08143928049433e-4,0.0013999243809256668
Ambos,35,2018,0.00205825244113301,0.0015157701778311613,0.0012798727498105809,0.0018500560262645859
Ambos,40,2018,0.00272847662139115,0.002129831210291917,0.0018601488168220857,0.0024025786873534357
Ambos,45,2018,0.00383408401072333,0.003066570531172754,0.002713251046549917,0.0034277837972519756
Ambos,50,2018,0.00561687786416938,0.00446780035014407,0.003983366295339702,0.004972575525898995
Ambos,55,2018,0.00817883990577953,0.006631498692750413,0.005865352772484274,0.00741454805525737
Ambos,60,2018,0.0123813984622388,0.009856617972170936,0.008715369857506388,0.011375179201989652
Ambos,65,2018,0.0182768538871936,0.015005764305127569,0.013775721083795583,0.01626874043488023
Ambos,70,2018,0.0261473913239304,0.02191267957891124,0.020122844535392724,0.02374583602941276
Ambos,75,2018,0.042625088121384803,0.037475700857657564,0.035202737527638,0.040465242640357675
Ambos,80,2018,0.0704233050160332,0.06455026899603607,0.06224746322052787,0.06755617168694017
Ambos,85,2018,0.117121511420011,0.1134651098852953,0.11024036474229722,0.1172427220627783
Ambos,90,2018,0.198683310698221,0.18910548625699514,0.18626999414781098,0.19260024397787393
Ambos,0,2019,0.0122142516006901,0.010519703371173313,0.01017753410088315,0.010852068589032902
Ambos,1,2019,5.0858705991237e-4,4.539555440388757e-4,4.275764522800314e-4,4.793462427115274e-4
Ambos,5,2019,2.2203587109787e-4,2.0613158127595285e-4,2.013972408086631e-4,2.100904804649749e-4
Ambos,10,2019,2.8648562237672e-4,2.6051101977088713e-4,2.4470314582981543e-4,2.7833141601845996e-4
Ambos,15,2019,0.00105965218089672,7.1013619887761e-4,4.526324877974557e-4,0.0010909035139829114
Ambos,20,2019,0.00152903372806701,8.842884902847743e-4,5.481027133319443e-4,0.001221792145792409
Ambos,25,2019,0.00149028211112217,9.582139300967128e-4,6.704408467016869e-4,0.0012483029356882927
Ambos,30,2019,0.00164399084509165,0.0011355851889722243,8.980899022836585e-4,0.0014781689898201546
Ambos,35,2019,0.00200083941999951,0.00149023499015674,0.0012575158132511614,0.0018193005734897655
Ambos,40,2019,0.00267096818683157,0.0020935429017825556,0.001836856531321572,0.00236172389952327
Ambos,45,2019,0.00375370134920245,0.003009468240715454,0.0026710892536470775,0.0033628458057977416
Ambos,50,2019,0.00553706178159526,0.004387534969712977,0.00390777605483102,0.004882552682531468
Ambos,55,2019,0.00808833815876149,0.00652594534994897,0.005774763996727591,0.007590800171581146
Ambos,60,2019,0.0122329184919654,0.009718705835260447,0.008578241083079972,0.010943388944369165
Ambos,65,2019,0.0182329517186817,0.014771308041171851,0.013592873337839425,0.015980757751182035
Ambos,70,2019,0.0258402760536951,0.02163434785792993,0.01985144360376753,0.023475912501408184
Ambos,75,2019,0.0422636281466819,0.03706220657532395,0.034875520247982766,0.04001803707056766
Ambos,80,2019,0.0700901170451768,0.06394156419630702,0.06164936763811367,0.06645666727943389
Ambos,85,2019,0.117280748146842,0.11281114524723378,0.10940424856846094,0.11680425806927372
Ambos,90,2019,0.199488869045786,0.18899699051845217,0.18593068742188418,0.19235137785631887
Feminino,0,2016,0.0112441653700822,0.012725231124991377,0.011908483864991494,0.013545332055491245
Feminino,1,2016,4.8265803913242e-4,5.3149630322563e-4,5.034767984819043e-4,5.603436997615943e-4
