"idade","ano","previsto","inferior","superior","sexo","observado"
90,"2017",0.191016806723904,0.184912386696477,0.197322748912919,"Feminino",0.188929447183116
0,"2018",0.0111657307001579,0.0108359950313827,0.0115055001139604,"Feminino",0.0115660615701648
1,"2018",0.000496076860729224,0.000454258058999107,0.000541745483378305,"Feminino",0.00047500172266825
5,"2018",0.000196868931408697,0.000182570172312706,0.000212287558603048,"Feminino",0.000195505270313915
10,"2018",0.000248277685596812,0.000239690056332606,0.000257172992941236,"Feminino",0.000239960725398453
15,"2018",0.000443294562035334,0.000418772773921301,0.000469252255560979,"Feminino",0.000446617361625855
20,"2018",0.000560774878617815,0.000540513469396574,0.000581795796578197,"Feminino",0.000556124308511958
25,"2018",0.000692404968005795,0.000661812196845421,0.000724411913235084,"Feminino",0.000644719598209975
30,"2018",0.00091754836917132,0.000885408441024206,0.00095085496225344,"Feminino",0.000868724351469502
35,"2018",0.00134839579805639,0.00125968990127564,0.00144334826084971,"Feminino",0.00123483820321334
40,"2018",0.00190234223849835,0.00183487129035023,0.00197229419382553,"Feminino",0.00179901836688201
45,"2018",0.00275982067824115,0.0027192663349372,0.00280097983716749,"Feminino",0.00265208163112524
50,"2018",0.00416550701057793,0.0040076253446422,0.00432960847459732,"Feminino",0.00392767109644891
55,"2018",0.00614391310867953,0.00599080049464074,0.00630093896813498,"Feminino",0.00586148485455785
60,"2018",0.00927065904133123,0.0089812683451148,0.0095693743642973,"Feminino",0.00910904821087955
65,"2018",0.0142759660294558,0.0140887122824447,0.014465708574951,"Feminino",0.0139593239896324
70,"2018",0.0208218986930719,0.020441224326442,0.0212096623108687,"Feminino",0.0202665618718869
75,"2018",0.0363853401580809,0.0360002727249271,0.0367745263635898,"Feminino",0.0354036264134805
80,"2018",0.063934903910694,0.0626897391423069,0.0652048005621874,"Feminino",0.06206141626521
85,"2018",0.111262991389726,0.10945100438041,0.113104976268323,"Feminino",0.108082008616847
90,"2018",0.191464702099208,0.18492255616202,0.198238294509729,"Feminino",0.189484833941721
0,"2019",0.0109028422160367,0.0105298793533788,0.0112890152297565,"Feminino",0.0111103224066213
1,"2019",0.000486666760269109,0.000440739737398014,0.000537379581312738,"Feminino",0.000453608731871651
5,"2019",0.000194695235549443,0.000178168461599836,0.000212755020755526,"Feminino",0.000199794835854554
10,"2019",0.000246196916583496,0.000236340333461364,0.000256464568901566,"Feminino",0.000235980942429496
15,"2019",0.000438388713145325,0.000409754718552275,0.000469023674680871,"Feminino",0.00043494563935497
20,"2019",0.000557059605344695,0.000532114673450496,0.000583173927331393,"Feminino",0.000563196357972924
25,"2019",0.000687586479547494,0.000653529476423372,0.000723418275551877,"Feminino",0.000649037758306511
30,"2019",0.000908190030359434,0.000870546441501684,0.000947461378190786,"Feminino",0.000866968182597344
35,"2019",0.00133809348400007,0.00124208158171905,0.00144152702872012,"Feminino",0.00122439416012776
40,"2019",0.00188471971353572,0.00180806924734561,0.00196461966476395,"Feminino",0.00179304912418174
45,"2019",0.00273319994090564,0.00268689117740458,0.00278030683929025,"Feminino",0.00262000457348761
50,"2019",0.00413471468786988,0.00395746871359946,0.00431989910402541,"Feminino",0.00387039092366506
55,"2019",0.00608418519381865,0.00591133981421435,0.00626208450809587,"Feminino",0.0058013197946986
60,"2019",0.00918507635596963,0.00886015701866171,0.00952191112271455,"Feminino",0.00902671271826711
65,"2019",0.0141762018019877,0.0139586756538936,0.0143971177863585,"Feminino",0.0139665044856012
70,"2019",0.0206994919891736,0.0202584534117744,0.021150132238665,"Feminino",0.0200358084091665
75,"2019",0.0362123578830078,0.0357571192511843,0.0366733923455984,"Feminino",0.0350597318216265
80,"2019",0.0636571342007473,0.0621880194269657,0.0651609549876555,"Feminino",0.0618696550980123
85,"2019",0.110843552137851,0.10863812603861,0.113093749851409,"Feminino",0.108013218777689
90,"2019",0.191940235692157,0.184925506283632,0.199221052941475,"Feminino",0.189993298255459
0,"2016",0.0131484962456462,0.0124848253381901,0.013847446707399,"Masculino",0.0135205973397519
1,"2016",0.000599273084464218,0.000527553081815572,0.000680743307436133,"Masculino",0.000547895048028865
5,"2016",0.000250418415501521,0.000237395755330049,0.000264155451032005,"Masculino",0.000254574544624785
10,"2016",0.000406557190987877,0.000393937086312273,0.000419581591292294,"Masculino",0.000379603233180083
15,"2016",0.00209449909018728,0.00198188931814881,0.00221350728248183,"Masculino",0.00214515092977761
20,"2016",0.00295320399816764,0.00285312765336262,0.00305679062221928,"Masculino",0.00289378198862236
25,"2016",0.00276966334169489,0.00269069940316432,0.0028509446344349,"Masculino",0.00268515843763769
30,"2016",0.00288420565258858,0.00274117278811905,0.00303470189200734,"Masculino",0.00271249478754558
35,"2016",0.00322560659747741,0.0031419597927728,0.00331148028871106,"Masculino",0.00310993240598961
40,"2016",0.00415083140169125,0.00400823923057405,0.00429849625587308,"Masculino",0.00396177403582487
45,"2016",0.00561784321777438,0.00550402942658515,0.00573401048094948,"Masculino",0.00545824255628177
50,"2016",0.00809505144774512,0.00785796469067866,0.00833929147319455,"Masculino",0.00781993137467045
55,"2016",0.0119387169688855,0.0113560783765551,0.0125512486033398,"Masculino",0.0113042803424906
60,"2016",0.0168208791528257,0.0162963844699203,0.0173622545538378,"Masculino",0.0165607458082245
65,"2016",0.0241231371551356,0.023524726599358,0.0247367697876398,"Masculino",0.0239560642409194
70,"2016",0.0354219410153318,0.0343169599014845,0.0365625017162247,"Masculino",0.034507055246693
75,"2016",0.052616530419943,0.0510338632800157,0.0542482793874023,"Masculino",0.0536727922224078
80,"2016",0.0869482392225847,0.0843138988458033,0.0896648880836817,"Masculino",0.084518761697297
85,"2016",0.136375425653196,0.133946650061805,0.138848240799667,"Masculino",0.136130545446371
90,"2016",0.20518494026607,0.198351427854002,0.212253877713346,"Masculino",0.213843239645728
0,"2017",0.0125020568462761,0.0118243002956513,0.0132186616949337,"Masculino",0.0138348693738661
1,"2017",0.000585516402979024,0.000512825907862127,0.00066851041045622,"Masculino",0.000550063955519368
5,"2017",0.00024216717861033,0.000228411901825608,0.000256750816955513,"Masculino",0.000251601177568536
10,"2017",0.000403628180637412,0.000389913196401405,0.000417825581971198,"Masculino",0.000364126766652861
15,"2017",0.00210593877531192,0.00195706952227368,0.0022661321301503,"Masculino",0.00208299015362052
20,"2017",0.00298251247287769,0.00285851761281299,0.00311188589883037,"Masculino",0.00287377991422719
25,"2017",0.00277103404990813,0.00268222349335535,0.0028627851947358,"Masculino",0.00262423261934667
30,"2017",0.00287564203111483,0.00272580048850758,0.00303372059913372,"Masculino",0.00263084755725137
35,"2017",0.00318535049136635,0.00309734299087799,0.00327585862551557,"Masculino",0.00301870070986003
40,"2017",0.00409849835595718,0.00394935939580369,0.00425326922427767,"Masculino",0.00383364674497096
45,"2017",0.00553052366323962,0.00541029842591251,0.00565342049214126,"Masculino",0.00529782126541753
50,"2017",0.00799303011825,0.00774052132028556,0.00825377617704109,"Masculino",0.00765941016976272
55,"2017",0.0118694381249164,0.011272840521601,0.0124976097312171,"Masculino",0.0110814293537621
60,"2017",0.0166602902178299,0.0161075217215172,0.0172320282996443,"Masculino",0.0164329561480826
65,"2017",0.0238124505564639,0.0231789489502191,0.0244632663336825,"Masculino",0.0237002180266519
70,"2017",0.0351401771224071,0.0339920305402618,0.0363271045762197,"Masculino",0.0339966389886845
75,"2017",0.0517950601887611,0.0501130453884947,0.0535335308233592,"Masculino",0.0530386482350519
80,"2017",0.0865628769513035,0.0836719889478397,0.0895536458534247,"Masculino",0.0837252295000329
85,"2017",0.135815059385046,0.13283395887226,0.138863062671361,"Masculino",0.134126472285394
