sexo,idade,ano,observado,previsao_combinada,ARIMA,ETS,FDM,LC,CNNGRU,CNN,GRU
Ambos,1,2019,0.0005085870599123,0.0004769687412621642,0.0005102533690651,0.0004724918124254,0.0005108776865333,0.0004219132890073,0.00050858705991237,0.00050858705991237,0.00050858705991237
Ambos,5,2019,0.0002220358710978,0.0002137811175256797,0.0002096839234651,0.0002100369128718,0.000209893537587,0.0002215313037916,0.00022203587109787,0.00022203587109787,0.00022203587109787
Ambos,10,2019,0.0002864856223767,0.0002945261318122299,0.0003025611957194,0.00029082944472,0.0003209376601277,0.0003087489411885,0.00028648562237672,0.00028648562237672,0.00028648562237672
Ambos,15,2019,0.0010596521808967,0.0012279992295897745,0.0013488570947365,0.0013471946674654,0.0013070049050864,0.0012713911545239,0.0010596521808967,0.0010596521808967,0.0010596521808967
Ambos,20,2019,0.001529033728067,0.0016234510150666154,0.0017184696067195,0.0017184680607986,0.0017986381806598,0.0016385285261303,0.001529033728067,0.001529033728067,0.001529033728067
Ambos,25,2019,0.0014902821111221,0.0015565133309558283,0.0016667463646558,0.0016666761284318,0.0017221085068039,0.0015781089622543,0.0014902821111221,0.0014902821111221,0.0014902821111221
Ambos,30,2019,0.0016439908450916,0.0016690667422636142,0.0017204166394863,0.0017138159946429,0.0018770322290403,0.0017114815978463,0.0016439908450916,0.0016439908450916,0.0016439908450916
Ambos,35,2019,0.0020008394199995,0.0020293476211509618,0.0020549535377608,0.0020533362336968,0.0022084597941752,0.0020710403552003,0.0020008394199995,0.0020008394199995,0.0020008394199995
Ambos,40,2019,0.0026709681868315,0.0027127430970168565,0.0027114262082672,0.0027157995051276,0.0029720190511374,0.0027674809008151,0.0026709681868315,0.0026709681868315,0.0026709681868315
Ambos,45,2019,0.0037537013492024,0.0038272203150402665,0.0038420476871352,0.0038219400305162,0.0040098625238119,0.0038672877521045,0.0037537013492024,0.0037537013492024,0.0037537013492024
Ambos,50,2019,0.0055370617815952,0.005529982934317855,0.0055104282410308,0.0055097859019361,0.0059666979954451,0.0055988718908814,0.0055370617815952,0.0055370617815952,0.0055370617815952
Ambos,55,2019,0.0080883381587614,0.008154792658442116,0.0083644890777917,0.0083248873516768,0.0087308656050725,0.0081326421305275,0.0080883381587614,0.0080883381587614,0.0080883381587614
Ambos,60,2019,0.0122329184919654,0.012191221950932096,0.0126859792045257,0.012105618653233,0.0124775619692986,0.0116693692730612,0.0122329184919653,0.0122329184919653,0.0122329184919653
Ambos,65,2019,0.0182329517186817,0.017755249962883152,0.0175611320013349,0.0175181446953181,0.0183907447427775,0.0175848809423121,0.0182329517186817,0.0182329517186817,0.0182329517186817
Ambos,70,2019,0.0258402760536951,0.025830804267793477,0.0257500734848338,0.0258444031065178,0.0273559370121049,0.0258621089844133,0.025840276053695,0.025840276053695,0.025840276053695
Ambos,75,2019,0.0422636281466819,0.0422388976711697,0.0422946092151368,0.0421474693690904,0.0419288916919201,0.0422792770107893,0.0422636281466817,0.0422636281466817,0.0422636281466817
Ambos,80,2019,0.0700901170451768,0.06966211485741833,0.0690362564131437,0.0690371878920334,0.073544805962833,0.070353712101392,0.0700901170451769,0.0700901170451769,0.0700901170451769
Ambos,85,2019,0.117280748146842,0.11829245507587738,0.119371200465202,0.12218057945687,0.119568092285699,0.118228139133919,0.1172807481468424,0.1172807481468424,0.1172807481468424
Ambos,90,2019,0.199488869045786,0.19689669250293407,0.193935078431796,0.196228686753152,0.19540422950571,0.192503508147475,0.1994888690457856,0.1994888690457856,0.1994888690457856
Feminino,0,2016,0.0112441653700822,0.011398152778885924,0.0111470222362645,0.0112308745737789,0.0117138769042545,0.0112686576682621,0.0112508947904792,0.011471232169132,0.0117133864012103
Feminino,1,2016,0.0004826580391324,0.0004739474013043323,0.0004828045102697,0.0004829433428598,0.0005145964543044,0.0004657507342904,0.00047054280010778,0.00046776339489753,0.00047098264877613
Feminino,5,2016,0.0002028046259567,0.0002096040306329846,0.0002045558982262,0.0002045774037009,0.0002018046646601,0.0002147527362771,0.00021508738104316,0.00022097500138921,0.00021557848493234
Feminino,10,2016,0.000244120631469,0.000247931638199426,0.0002457007707285,0.0002454015528054,0.0002524313963445,0.0002499314921122,0.0002540783952868,0.00025375572800102,0.00025705911366568
Feminino,15,2016,0.0004665364650708,0.0004686496601547125,0.0004610203688578,0.0004594095197921,0.0004542904787047,0.0004715539058259,0.00046900198774453,0.00047357542384284,0.00047381348086469
Feminino,20,2016,0.0005606952952804,0.0005641957726068934,0.0005674172680528,0.0005656585924157,0.0005688394655197,0.0005580960144452,0.00056020198117672,0.00056619971370652,0.00056861658021333
Feminino,25,2016,0.0006706508028597,0.0006837577196743514,0.0006811936108776,0.0006830659847887,0.0007019189482181,0.0006745274821884,0.00069466758849066,0.00069495292804744,0.00070500022716542
Feminino,30,2016,0.0009032341777566,0.0009256088707632935,0.0009134127590668,0.0009104564573949,0.0009360412856147,0.0009076248916035,0.00093702521619326,0.0009339891182108,0.00093867939274966
Feminino,35,2016,0.0012981303644887,0.0013059230795845166,0.0013202592672601,0.0013145662704153,0.0013671331341031,0.0012783141932496,0.001323295740872,0.0012921002561599,0.0013057581352889
Feminino,40,2016,0.0018801837204144,0.001899136512988555,0.0019026253884085,0.0018898959669469,0.0019367091438129,0.0018790409502808,0.0018976266778057,0.0019301231481938,0.0019464942550003
Feminino,45,2016,0.0027691310286927,0.0027950107318455474,0.002781359999653,0.0027775937010965,0.0028163403051981,0.0027844703947961,0.0028111400971822,0.0028338349213412,0.0028606164295572
Feminino,50,2016,0.004105402162285,0.004090661633826628,0.0040734297572193,0.0040734278794236,0.0042281450864522,0.0040974862279246,0.0040797404873119,0.0041069725887713,0.0041028104547337
Feminino,55,2016,0.0061389741730365,0.006135412624824739,0.0061609269211936,0.0061663119010101,0.0062660695926326,0.0061124074155376,0.0060867341390706,0.0060840213949564,0.0061231093721035
Feminino,60,2016,0.0093409807813314,0.009116168602472222,0.0092738559587093,0.0092540903438496,0.0094465018368599,0.0091593420750716,0.0090856035983959,0.0089639907420174,0.0091047442893641
Feminino,65,2016,0.0143617906818095,0.014278867289748623,0.0142449979187068,0.0142441004496983,0.0144911914040873,0.0143798981331618,0.0143076989240454,0.0141480165803796,0.0142651982093986
Feminino,70,2016,0.0209030466156008,0.020730795887865472,0.020841820119916,0.0208400047870516,0.0210934327053738,0.0208955563254363,0.0205540141866529,0.0204544547653755,0.0206867733788186
Feminino,75,2016,0.0364720048033259,0.03609311220155136,0.0364030007049631,0.0363989325586052,0.0367626109419027,0.036492658452071,0.0358608764069739,0.0358005902837359,0.0360872782464416
