

IDADE	ANO	Mulheres	Homens	Ambos
10	2008	0.000284796403687225	0.000440687794210159	0.000363236054538289
15	2008	0.000494489118925443	0.00188738881321826	0.001190443386324
20	2008	0.000604143207365912	0.0028100261459071	0.00169936393940657
25	2008	0.000764283234401938	0.00284335793844081	0.00178777951680558
30	2008	0.00101536928620843	0.00305838935226016	0.00201595788852843
35	2008	0.00145228372650383	0.00363637129784429	0.00251520239242313
40	2008	0.00217036670122652	0.00475711451252659	0.00341908998405464
45	2008	0.00320744345483218	0.00643373122694438	0.00475755541169424
50	2008	0.00477525619100548	0.00918115296341299	0.0068854431842565
55	2008	0.00699786312968293	0.0127264047231215	0.00972690227534243
60	2008	0.0106197447763733	0.0179912799430533	0.0141043047251416
65	2008	0.016442683357071	0.0269663390047275	0.0213127538479594
70	2008	0.0228475499278337	0.0380389357716761	0.0296238101866986
75	2008	0.0399628252788104	0.0595610333626787	0.0482468521934397
80	2008	0.06963975649045	0.0932517952020356	0.0790924127912265
85	2008	0.114881617048659	0.138258100486046	0.123781729722409
90	2008	0.184986176589311	0.207490880490352	0.193079954350816
0	2009	0.0146747055234392	0.0181314067629732	0.0164426195825348
1	2009	0.000615734039213616	0.000703850516995154	0.000660794797376802
5	2009	0.000253318738302469	0.000334318913999258	0.000294605413449642
10	2009	0.000283941950216523	0.000437356639429641	0.000361298839809344
15	2009	0.000494957339887379	0.00187670771713798	0.00118563369819389
20	2009	0.000610370797994114	0.00284214064761681	0.00171880588834707
25	2009	0.000755160953918684	0.00283577407623173	0.00178005093034982
30	2009	0.0010080178911268	0.0030316719382687	0.00199892726134683
35	2009	0.00143193725908357	0.00358936094879844	0.00248224770997085
40	2009	0.00213041897791861	0.00469871628985344	0.00337058120457095
45	2009	0.00317010987860859	0.00634711015628004	0.00469483568075117
50	2009	0.00472715072772104	0.00907613646553624	0.00680765685745065
55	2009	0.00687353921341361	0.0126416477872488	0.00961565042653511
60	2009	0.0104132952236815	0.0177971982581379	0.0138991767021979
65	2009	0.0162132131582778	0.0266055016221572	0.0210223401489201
70	2009	0.0225132590643898	0.0377324744146768	0.0293093113533168
75	2009	0.0393625673626431	0.0591011917083124	0.0477022096503095
80	2009	0.0690464760191422	0.0928852463500738	0.0785681247883108
85	2009	0.115109151779907	0.14019539450629	0.124623624926712
90	2009	0.184296212590411	0.208863715603271	0.193019583660351
0	2010	0.0137713216961105	0.0165608654175956	0.0151982652094024
1	2010	0.000583693385489785	0.000675041371532899	0.000630391901404375
5	2010	0.000247435505897085	0.000320737915027336	0.000284864058484922
10	2010	0.000275768087622987	0.000431087522738572	0.000354258162756671
15	2010	0.000500889859061116	0.00188745994041771	0.00119442069090067
20	2010	0.000616978718015859	0.00284227486915066	0.00172252047323874
25	2010	0.000752691941799789	0.00280438916007234	0.0017640873921452
30	2010	0.000999971230865478	0.00301118868230307	0.00198456046431733
35	2010	0.00140437905619003	0.00354173810808631	0.00244525876250391
40	2010	0.00209616225896914	0.00462381591150368	0.00331726869347689
45	2010	0.0031198877326699	0.00626667131983463	0.00462883098060582
50	2010	0.00464216483139725	0.00892842604382757	0.00669012663422727
55	2010	0.00678851103687326	0.0125391336406273	0.00951726008638258
60	2010	0.0102166807329426	0.0176533585177871	0.0137217148616124
65	2010	0.0159713555995621	0.0260533037926357	0.0206367354909525
70	2010	0.0228744735372178	0.0379073347095111	0.029591799466446
75	2010	0.0389845083366155	0.0584535090841124	0.0472144086271689
80	2010	0.0675813097736317	0.0906104923477906	0.0767629794924844
85	2010	0.114373229745236	0.138922865584012	0.123653211426837
90	2010	0.188816805471292	0.207422049352802	0.19534553818753
0	2011	0.013555370127882	0.0162968788557878	0.0149580106807252
1	2011	0.000555387947579002	0.000647604368870547	0.000602544199699202
5	2011	0.000241365032867322	0.00030815266884307	0.000275499038895576
10	2011	0.000271037357130072	0.000433158428332501	0.000353150286018277
15	2011	0.000506859502471637	0.00196945925116536	0.00123917555391025
20	2011	0.00060885186772249	0.0028611782050714	0.0017282456271215
25	2011	0.000733396261590896	0.00278627195836044	0.00174615587781345
30	2011	0.000991797211602348	0.00299535440533891	0.00197257383453028
35	2011	0.00137295418279572	0.00350635837684569	0.0024121982745963
40	2011	0.00205426751337378	0.00454045438836395	0.00325600269896483
45	2011	0.00305439604539728	0.00617347770928405	0.0045493442557936
50	2011	0.00451863376205898	0.0087186501171589	0.00652269426683586
55	2011	0.00668066341244518	0.0123438465332525	0.0093639567620141
60	2011	0.0100848254787201	0.0174902735142046	0.0135682182689649
65	2011	0.0156546688170394	0.0255462283215669	0.0202314244512199
70	2011	0.0224978234585103	0.0372521393886497	0.0290936172259127
75	2011	0.038500307610956	0.0575947865862632	0.0465841331969992
80	2011	0.0670363147871621	0.0899414398401937	0.0761539210687626
85	2011	0.115018915872822	0.140445078150381	0.124520030574165
90	2011	0.186439253624479	0.203067251138861	0.192322312559598
0	2012	0.0132551511959286	0.0155997361324769	0.0144549428853476
1	2012	0.000538129668969831	0.000622341007147406	0.000581207873957652
5	2012	0.000234094086270805	0.000299679781928047	0.000267632450144096
10	2012	0.000264210837593014	0.000431327438290847	0.00034904055449487
15	2012	0.000509449733749648	0.00205117450052824	0.00128256113843233
20	2012	0.000595778447307364	0.00284703444968549	0.0017153958292815
25	2012	0.000717657420600476	0.00276167522895212	0.00172690281163937
30	2012	0.000975914262789755	0.00295290920282916	0.00194399839320022
35	2012	0.00135819934382923	0.00346374685802159	0.00238416053754828
40	2012	0.00203006029503699	0.00444854169213388	0.00319974778591537
45	2012	0.00301301803896205	0.0060605653041925	0.00447358328203509
50	2012	0.00440041879654112	0.00853005551229424	0.00636823478458447
55	2012	0.00659356085053954	0.0121554058664232	0.0092258669913104
60	2012	0.00988120238203934	0.0172309811743569	0.0133307813730321
65	2012	0.0153364404569494	0.0249969181091084	0.0198048558712394
70	2012	0.0220685199769523	0.0366022581870782	0.0285683734253525
75	2012	0.038023805781755	0.0565960406679134	0.0459038851618225
80	2012	0.0660269094153338	0.0887474253130314	0.0750570760340884
85	2012	0.114813291673848	0.140056491144047	0.124194745149171
90	2012	0.184565123351175	0.202103183756513	0.190757722259697
0	2013	0.0127739962637988	0.015423886097242	0.0141300443060711
1	2013	0.00052352802745317	0.000596499552960447	0.000560871299544203
5	2013	0.000224019775982907	0.000291712744554439	0.000258644590943455
10	2013	0.000262203811981436	0.000430450038066405	0.000347786253864526
15	2013	0.000497811882005736	0.00214270163871619	0.00132423496444093
20	2013	0.000582884723354758	0.00288455640807291	0.00172854009923116
25	2013	0.000704303483396776	0.00276163020877629	0.00172102471667905
30	2013	0.000963822100362139	0.0029200519660476	0.00192243853226264
35	2013	0.0013457346126232	0.00339603356241765	0.00234498047567195
40	2013	0.00197289100549321	0.00431779793075055	0.00310767341730047
45	2013	0.0029323419319545	0.00588872892965128	0.00434948427338919
50	2013	0.00426237931876802	0.00829024709467807	0.00617960951897595
55	2013	0.00643553740107225	0.0119224792927757	0.00902997581598703
60	2013	0.00961879660894056	0.0168988338891229	0.0130280748562937
65	2013	0.0148792591375241	0.0244096654738168	0.0192846601555375
70	2013	0.0215862462619859	0.0358205431848647	0.0279553735586227
75	2013	0.0373816707468154	0.0557085371753346	0.0451762636320466
