"IDADE","INTERVALO DE IDADE","SEXO","ANO","LOCAL","nMx","nAx","nqx","lx","ndx","nLx","Sx","Tx","ex"
60,5,"Mulheres",2023,"Brasil",0.00853903213225101,2.66329474494853,0.0418599212284041,90083.2022608999,3770.87575064367,441604.586121824,0.947451627474227,2165495.39758772,24.0388368001838
65,5,"Mulheres",2023,"Brasil",0.0133559873541923,2.64453491420062,0.0647431457690911,86312.3265102563,5588.13153692288,418398.983821205,0.922471910931826,1723890.81146589,19.9727070415724
70,5,"Mulheres",2023,"Brasil",0.0195304567091949,2.65724818451026,0.0933796944219059,80724.1949733334,7538.00065906423,385961.310137481,0.877368379788088,1305491.82764469,16.1722495724603
75,5,"Mulheres",2023,"Brasil",0.0345380159162779,2.66573047218109,0.159806327557968,73186.1943142691,11695.6169413072,338630.24933621,0.792329763823313,919530.517507208,12.5642619639252
80,5,"Mulheres",2023,"Brasil",0.0611213697387724,2.61294033926914,0.266695831852924,61490.577372962,16399.2806835986,268306.825479989,0.66023219370693,580900.268170998,9.44698022019917
85,5,"Mulheres",2023,"Brasil",0.109441258567404,2.50803098283959,0.429948830903232,45091.2966893633,19386.9502955025,177144.803973195,0.433306078181882,312593.44269101,6.9324562751984
90,0,"Mulheres",2023,"Brasil",0.189771906437626,5.26948387025179,1,25704.3463938608,25704.3463938608,135448.638717814,0,135448.638717814,5.26948387025179
0,1,"Homens",2023,"Brasil",0.0136331618620957,0.0812104529637458,0.0134645053786955,1e+05,1346.45053786956,98762.8953202041,0.985639213859728,7306956.71150985,73.0695671150985
1,4,"Homens",2023,"Brasil",0.000592537047019958,1.61240910548308,0.00236679979107303,98653.5494621304,233.493200255587,394056.71160966,0.997853087752381,7208193.81618965,73.0657321048202
5,5,"Homens",2023,"Brasil",0.000261444768152841,2.3654910870617,0.0013063240727349,98420.0562618749,128.568488734803,491761.566479879,0.998689002829493,6814137.10457999,69.2352490273834
10,5,"Homens",2023,"Brasil",0.000321673314716373,2.84420716484092,0.00160725200695427,98291.48777314,157.979190989892,491116.86845766,0.99623501113731,6322375.53810011,64.3227168632584
15,5,"Homens",2023,"Brasil",0.00136872396711914,2.90983830931549,0.00682409708740903,98133.5085821502,669.672590092683,489267.818917638,0.990524698305156,5831258.66964245,59.4216873919365
