"idade","ano","previsto","inferior","superior","sexo","observado"
85,"2013",0.111105283005641,0.108105111431674,0.114188716410192,"Feminino",0.109264525517984
90,"2013",0.187176126681742,0.183940229886157,0.190468949730372,"Feminino",0.188929447183116
0,"2014",0.0123404222387114,0.0119673727897703,0.0127251004631407,"Feminino",0.0115660615701648
1,"2014",0.00053791176778308,0.000495800391853281,0.000583599921811162,"Feminino",0.00047500172266825
5,"2014",0.000232567162542764,0.000226380623710624,0.000238922767358089,"Feminino",0.000195505270313915
10,"2014",0.000254574805448009,0.00024577190711054,0.000263693000273393,"Feminino",0.000239960725398453
15,"2014",0.000470092111523417,0.00045716391829925,0.00048338590267286,"Feminino",0.000446617361625855
20,"2014",0.000574530425510463,0.000558305171514519,0.000591227211708981,"Feminino",0.000556124308511958
25,"2014",0.000720737803886523,0.000686550491649674,0.00075662749975312,"Feminino",0.000644719598209975
30,"2014",0.000936893172188339,0.000908452053118754,0.000966224703967273,"Feminino",0.000868724351469502
35,"2014",0.00132527424469964,0.00128538013635337,0.0013664065391947,"Feminino",0.00123483820321334
40,"2014",0.00197381441736825,0.00190498120687702,0.00204513479720763,"Feminino",0.00179901836688201
45,"2014",0.00293994034138634,0.00288726286366161,0.00299357890813916,"Feminino",0.00265208163112524
50,"2014",0.00436525331096929,0.0042496602460532,0.00448399056998163,"Feminino",0.00392767109644891
55,"2014",0.00637780069399128,0.00625651787133098,0.00650143458850575,"Feminino",0.00586148485455785
60,"2014",0.00947704515525992,0.00930829759084704,0.00964885189781116,"Feminino",0.00910904821087955
65,"2014",0.0153944189305425,0.0150725656669816,0.0157231449140872,"Feminino",0.0139593239896324
70,"2014",0.0218534645454439,0.0213646965698292,0.0223534142447591,"Feminino",0.0202665618718869
75,"2014",0.0378366129235142,0.0375306989438424,0.0381450204182443,"Feminino",0.0354036264134805
80,"2014",0.0658115072310928,0.0642989751259026,0.0673596192714957,"Feminino",0.06206141626521
85,"2014",0.110228413570074,0.106999556067624,0.113554706250335,"Feminino",0.108082008616847
90,"2014",0.187344994686477,0.183529656060476,0.191239649152453,"Feminino",0.189484833941721
0,"2015",0.0119482810518901,0.0115346734524615,0.0123767196950418,"Feminino",0.0111103224066213
1,"2015",0.000522739491982457,0.000477074784208947,0.000572775140340257,"Feminino",0.000453608731871651
5,"2015",0.000230325847882748,0.000223321374836328,0.000237550016167449,"Feminino",0.000199794835854554
10,"2015",0.000250170151760511,0.000240360566143948,0.000260380085784936,"Feminino",0.000235980942429496
15,"2015",0.00046052986017812,0.000446142434687133,0.000475381258598299,"Feminino",0.00043494563935497
20,"2015",0.000560870420227996,0.000543085240230662,0.000579238036653546,"Feminino",0.000563196357972924
25,"2015",0.000708994520770321,0.000672115118672729,0.000747897520107865,"Feminino",0.000649037758306511
30,"2015",0.00091437352941315,0.000883283116560976,0.000946558284218877,"Feminino",0.000866968182597344
35,"2015",0.00130096144798501,0.0012567214823058,0.00134675877907163,"Feminino",0.00122439416012776
40,"2015",0.00193300277260574,0.00185748113971998,0.00201159497073804,"Feminino",0.00179304912418174
45,"2015",0.00289397241663944,0.002834569106935,0.00295462062568158,"Feminino",0.00262000457348761
50,"2015",0.0042888111293231,0.00415960630500547,0.00442202928697155,"Feminino",0.00387039092366506
55,"2015",0.00626711319886932,0.00613087626379945,0.0064063775156182,"Feminino",0.0058013197946986
60,"2015",0.00930345272170574,0.00911312445993484,0.0094977560029541,"Feminino",0.00902671271826711
65,"2015",0.0152318342030472,0.0148701864539819,0.01560227734246,"Feminino",0.0139665044856012
70,"2015",0.021578034382216,0.021032372535686,0.0221378528271161,"Feminino",0.0200358084091665
75,"2015",0.0376307774363278,0.0372820476457991,0.0379827691846747,"Feminino",0.0350597318216265
80,"2015",0.0651370266682754,0.0634603284324171,0.0668580252890131,"Feminino",0.0618696550980123
85,"2015",0.109351925383733,0.105833789500146,0.112987011441302,"Feminino",0.108013218777689
90,"2015",0.187527940430504,0.183199632765741,0.191958509475151,"Feminino",0.189993298255459
0,"2012",0.0145388015479053,0.0134573875531655,0.015707116229974,"Masculino",0.0135205973397519
1,"2012",0.000683209960284977,0.000612370880551654,0.000762243706644093,"Masculino",0.000547895048028865
5,"2012",0.000290022879507842,0.000273689482016313,0.000307331030839565,"Masculino",0.000254574544624785
10,"2012",0.00044307528901266,0.000424317002221262,0.000462662845716662,"Masculino",0.000379603233180083
15,"2012",0.00191498717276012,0.00183827907061568,0.00199489616699362,"Masculino",0.00214515092977761
20,"2012",0.00289685416854154,0.00283435064787092,0.00296073602611593,"Masculino",0.00289378198862236
25,"2012",0.0027907759951017,0.00273736656653455,0.00284522750809217,"Masculino",0.00268515843763769
30,"2012",0.00310084929879413,0.00294800015572483,0.00326162342805845,"Masculino",0.00271249478754558
35,"2012",0.00356246615883085,0.00343952123510632,0.00368980572158691,"Masculino",0.00310993240598961
40,"2012",0.00460171209729,0.00445502303857172,0.00475323113775278,"Masculino",0.00396177403582487
45,"2012",0.00620823384793812,0.00607187819301501,0.00634765163026867,"Masculino",0.00545824255628177
50,"2012",0.00879233673115326,0.00858215560428419,0.00900766529511492,"Masculino",0.00781993137467045
55,"2012",0.0127524638935231,0.0121355386633453,0.0134007512865342,"Masculino",0.0113042803424906
60,"2012",0.0175700430989064,0.017183779278168,0.0179649895113375,"Masculino",0.0165607458082245
65,"2012",0.0252349997679166,0.0249770825110102,0.0254955803187197,"Masculino",0.0239560642409194
70,"2012",0.0384231100470582,0.0368314866639391,0.0400835133036809,"Masculino",0.034507055246693
75,"2012",0.0558796472926002,0.0541618132300481,0.0576519653853292,"Masculino",0.0536727922224078
80,"2012",0.0883078951608324,0.0869589853841859,0.0896777292568865,"Masculino",0.084518761697297
85,"2012",0.13818085844147,0.135320797644375,0.141101367801576,"Masculino",0.136130545446371
90,"2012",0.196668693182942,0.188171154713552,0.205549968257172,"Masculino",0.213843239645728
0,"2013",0.0138830260541551,0.0127669999692462,0.0150966094528571,"Masculino",0.0138348693738661
1,"2013",0.000663975528105015,0.000591737282422621,0.000745032491644607,"Masculino",0.000550063955519368
5,"2013",0.000280381317534939,0.000263323460959229,0.000298544166692387,"Masculino",0.000251601177568536
10,"2013",0.000441733382697903,0.000421977774164123,0.000462413883708101,"Masculino",0.000364126766652861
15,"2013",0.0019167742853802,0.00182660585112281,0.00201139378746453,"Masculino",0.00208299015362052
20,"2013",0.00291952386672386,0.00283268956100975,0.00300902002312315,"Masculino",0.00287377991422719
25,"2013",0.002781852574609,0.00271868011060902,0.00284649294216712,"Masculino",0.00262423261934667
30,"2013",0.00308814570985439,0.00292677773838201,0.00325841070889248,"Masculino",0.00263084755725137
35,"2013",0.00353014526656428,0.00340076434067823,0.00366444844589285,"Masculino",0.00301870070986003
40,"2013",0.0045544311058109,0.00440033444618618,0.00471392412355292,"Masculino",0.00383364674497096
45,"2013",0.00612979504743753,0.00598472096297229,0.00627838583554086,"Masculino",0.00529782126541753
50,"2013",0.00868871673442894,0.00846533959749181,0.00891798818248397,"Masculino",0.00765941016976272
55,"2013",0.0126772303279347,0.0120422819327395,0.0133456573833051,"Masculino",0.0110814293537621
60,"2013",0.017403596455155,0.0169889451873332,0.0178283681673017,"Masculino",0.0164329561480826
65,"2013",0.0248751774698884,0.0245949778453992,0.0251585692838586,"Masculino",0.0237002180266519
70,"2013",0.0381756738899922,0.0365273444849868,0.0398983856478817,"Masculino",0.0339966389886845
75,"2013",0.0551659733004768,0.053359513362216,0.0570335900466415,"Masculino",0.0530386482350519
80,"2013",0.0879032775475785,0.0863485727137591,0.0894859748200026,"Masculino",0.0837252295000329
85,"2013",0.13890879233205,0.135441499577362,0.142464847534616,"Masculino",0.134126472285394
90,"2013",0.195536912001586,0.186733840658495,0.204754980780591,"Masculino",0.215434512173449
0,"2014",0.0130209406790939,0.0118238828383469,0.0143391894597112,"Masculino",0.0135786263750232
1,"2014",0.000647670820130764,0.00057044783388722,0.00073534768006813,"Masculino",0.000548496236715638
5,"2014",0.000271217792113513,0.000252562101487918,0.000291251499435468,"Masculino",0.000248054140372009
10,"2014",0.000438815120846181,0.000417194623972009,0.000461556068124617,"Masculino",0.000347598773313543
15,"2014",0.00191523371980709,0.00180841084102348,0.00202836662901782,"Masculino",0.00191994087257499
20,"2014",0.00292783097548359,0.00280876897637681,0.00305193993991594,"Masculino",0.00274528373722183
25,"2014",0.00276457698012264,0.00268641815795658,0.00284500976007309,"Masculino",0.00251330676859386
30,"2014",0.00308111150085878,0.00290280823428296,0.00327036693936801,"Masculino",0.00254425755574667
35,"2014",0.00350160479588942,0.00335810634879266,0.00365123521207244,"Masculino",0.00292157786050983
40,"2014",0.00451061440155781,0.00434007878178457,0.00468785091296773,"Masculino",0.00371469870311863
45,"2014",0.00607493446977739,0.00591088125642029,0.00624354088859493,"Masculino",0.0051087793614081
50,"2014",0.00860524877036148,0.00835366320775392,0.0088644112837915,"Masculino",0.00748051327322415
55,"2014",0.0126356424986945,0.0119580603161226,0.0133516186684182,"Masculino",0.010786702996587
60,"2014",0.0172763380306731,0.016804661669097,0.0177612534918782,"Masculino",0.016143986391298
65,"2014",0.0245217470465944,0.0241971358515392,0.0248507129896084,"Masculino",0.0233861321914028
70,"2014",0.0382324631493602,0.0364465512076494,0.0401058862919353,"Masculino",0.033387336665686
75,"2014",0.0545817174292915,0.0526251022345623,0.0566110800935303,"Masculino",0.0522667739342522
80,"2014",0.0866503818283033,0.0848064465047424,0.0885344095931538,"Masculino",0.0828584909899789
85,"2014",0.138388934133036,0.134240366518223,0.142665709184264,"Masculino",0.132574546138651
90,"2014",0.194427511559275,0.185275665831088,0.204031420324758,"Masculino",0.216723711732269
0,"2015",0.0124306722287471,0.0110808403194392,0.0139449362687292,"Masculino",0.0132675217298844
1,"2015",0.000630161428912256,0.000544849034090385,0.000728832028034504,"Masculino",0.000561001189870819
5,"2015",0.000262733139691788,0.000241690952331389,0.000285607309774912,"Masculino",0.000243222707605791
10,"2015",0.000436680567353147,0.000412196251932032,0.000462619242678871,"Masculino",0.000334704808808973
15,"2015",0.00191283916044089,0.0017871656605236,0.00204735002162263,"Masculino",0.00166243520131769
20,"2015",0.00293742359835369,0.00278214756927173,0.00310136582669616,"Masculino",0.00248868207339464
25,"2015",0.00274817959188983,0.00265123293528517,0.00284867126111926,"Masculino",0.00234412921090513
30,"2015",0.00306356372013908,0.00286106215159804,0.00328039803752959,"Masculino",0.00244345690282026
35,"2015",0.00346804243518283,0.00330294998024549,0.0036413867615806,"Masculino",0.00281326519263482
40,"2015",0.00446391969601238,0.00426785965879141,0.00466898648164315,"Masculino",0.00360208140826479
45,"2015",0.00600256611563181,0.00581051787167863,0.00620096190533221,"Masculino",0.00497435134113222
50,"2015",0.00851254535755339,0.0082189037480688,0.00881667807357284,"Masculino",0.00737330116016342
55,"2015",0.0125613165685276,0.0118167903676161,0.0133527522301809,"Masculino",0.0106650953251627
60,"2015",0.0171084443094653,0.0165539661419159,0.0176814948261214,"Masculino",0.0159239497138927
65,"2015",0.0241926387958589,0.0238034414053139,0.0245881997456148,"Masculino",0.0233002936618778
70,"2015",0.038014708027014,0.0360356191969867,0.0401024891088861,"Masculino",0.0329968630644726
75,"2015",0.0539318948000202,0.0517659581394602,0.0561884562994931,"Masculino",0.0518617482735885
80,"2015",0.0861912545751978,0.08400319438935,0.0884363079195997,"Masculino",0.0822478993861486
85,"2015",0.138757033346498,0.133854745171305,0.14383886263039,"Masculino",0.133128731071637
90,"2015",0.193459391956183,0.1839100185324,0.203504608583694,"Masculino",0.2182456976121
0,"2012",0.0137562501882323,0.0131019396138195,0.0144432370182536,"Ambos",0.0124091232661057
1,"2012",0.000625278092004983,0.000572892848412545,0.000682453435096557,"Ambos",0.00051606012802238
5,"2012",0.000259142800269309,0.000244006576185219,0.000275217955111354,"Ambos",0.000229295321325133
10,"2012",0.000353566722202028,0.00034630403402961,0.000360981723470184,"Ambos",0.000313367344695055
15,"2012",0.00121179884961308,0.00117487422674989,0.0012498839607588,"Ambos",0.00131539525181774
20,"2012",0.00171340319234153,0.00168633885667143,0.00174090188808248,"Ambos",0.00172517101099002
