"sexo","idade","ano","previsto","inferior","superior","observado"
"Ambos",75,2013,0.0453924811211261,0.0446274281165123,0.0461706495151892,0.0451762636320466
"Ambos",80,2013,0.0744137820931984,0.0725991701657587,0.076273750137515,0.0735537221448411
"Ambos",85,2013,0.122984086378914,0.119119817368461,0.126973712994131,0.123152861202842
"Ambos",90,2013,0.194301472466519,0.191576998963064,0.197064691518299,0.19082505389212
"Ambos",0,2014,0.0125066175761961,0.0116787942766917,0.0133931191432482,0.0136350382860009
"Ambos",1,2014,0.000526167191907709,0.000476815501901554,0.00058062691488836,0.000536978293585871
"Ambos",5,2014,0.000253005208071903,0.00024395517296057,0.000262390973450901,0.000244801845989221
"Ambos",10,2014,0.000349847400571264,0.000323787423159204,0.0003780048109722,0.000334507458815728
"Ambos",15,2014,0.00123917555391025,0.00117918307430242,0.00130222022930339,0.0013205915942781
"Ambos",20,2014,0.00173590915198698,0.00160925548377507,0.00187253087799534,0.00170309151597892
"Ambos",25,2014,0.00165668719027723,0.00157113013731831,0.00174690331579617,0.00169944387158285
"Ambos",30,2014,0.00192895532532793,0.00181050420978323,0.00205515603167611,0.00187251051254242
"Ambos",35,2014,0.00231567463375505,0.00219820951749512,0.00243941670106452,0.00228707866919479
"Ambos",40,2014,0.00307891056972477,0.00289643980145489,0.0032728766852331,0.00302878756773802
"Ambos",45,2014,0.00429282178954365,0.00416385950139274,0.00442577827388671,0.0042483817556346
"Ambos",50,2014,0.00612182316433005,0.00597894715149397,0.00626811341624981,0.00607530705479623
"Ambos",55,2014,0.00891870471399908,0.00852123240839034,0.00933471708824512,0.00887896986188744
"Ambos",60,2014,0.0127016089045871,0.0122762850144895,0.0131416685564625,0.0128644820792078
"Ambos",65,2014,0.0190558186850988,0.018728338253331,0.0193890253821519,0.0190145753633744
"Ambos",70,2014,0.0277964246070028,0.0268465470375489,0.0287799104984391,0.0276495441308916
"Ambos",75,2014,0.0448081355028851,0.0438849623209443,0.0457507287476169,0.0447952572166353
"Ambos",80,2014,0.0735586808877599,0.0713678410297733,0.0758167748368622,0.0728816758474164
"Ambos",85,2014,0.122223233609,0.117536513472566,0.127096834783406,0.122855473627083
